        91                   3_             X  3530806.501 Y   5328777.778 Z   593.434
        92                   3_             X  3530806.448 Y   5328777.834 Z   593.433
        93                   3_             X  3530806.393 Y   5328777.870 Z   593.439
        94                   3_             X  3530806.405 Y   5328777.901 Z   593.438
        95                  3_$             X  3530806.404 Y   5328777.901 Z   593.438
        96                   3_             X  3530805.685 Y   5328778.794 Z   593.504
        97                   3_             X  3530805.726 Y   5328778.873 Z   593.486
        98                   3_             X  3530805.746 Y   5328778.940 Z   593.485
        99                   3_             X  3530805.735 Y   5328779.024 Z   593.486
        100                  3_             X  3530805.648 Y   5328779.089 Z   593.489
        101                  3_             X  3530805.646 Y   5328779.104 Z   593.489
        102                  3_             X  3530805.601 Y   5328779.094 Z   593.486
        103                 3_$             X  3530805.604 Y   5328779.089 Z   593.490
        104                  3_             X  3530805.618 Y   5328778.893 Z   593.493
        105                  3_             X  3530805.625 Y   5328778.921 Z   593.499
        106                  3_             X  3530805.600 Y   5328778.959 Z   593.497
        107                  3_             X  3530805.598 Y   5328778.933 Z   593.500
        108                 3_$             X  3530805.618 Y   5328778.948 Z   593.501
        109                3_LI             X  3530805.640 Y   5328778.840 Z   593.492
        110                3_LI             X  3530805.742 Y   5328778.921 Z   593.485
        111                3_LI             X  3530805.677 Y   5328779.030 Z   593.486
        112                3_LI             X  3530805.569 Y   5328778.979 Z   593.506
        113              3_LI_$             X  3530805.570 Y   5328778.980 Z   593.506
        114                3_FG             X  3530807.385 Y   5328776.642 Z   593.481
        115                3_FG             X  3530808.031 Y   5328777.129 Z   593.472
        116                3_FG             X  3530807.282 Y   5328777.493 Z   593.427
        117                3_FG             X  3530806.707 Y   5328777.465 Z   593.459
        118                3_FG             X  3530807.390 Y   5328778.009 Z   593.441
        119                3_FG             X  3530806.630 Y   5328778.290 Z   593.442
        120                3_FG             X  3530805.978 Y   5328778.426 Z   593.481
        121                3_FG             X  3530806.724 Y   5328778.903 Z   593.468
        122                3_FG             X  3530806.027 Y   5328779.080 Z   593.485
        123                3_FG             X  3530805.412 Y   5328779.191 Z   593.549
        124                3_FG             X  3530806.111 Y   5328779.695 Z   593.493
        125                3_FG             X  3530805.625 Y   5328779.631 Z   593.522
        126                3_FG             X  3530805.045 Y   5328779.679 Z   593.582
        127                3_FG             X  3530805.681 Y   5328780.222 Z   593.530
        128             3_VF_20             X  3530806.431 Y   5328778.538 Z   593.443
        129             3_VF_20             X  3530807.094 Y   5328777.670 Z   593.418
        130             3_VF_20             X  3530807.581 Y   5328776.958 Z   593.454
        131             3_VF_20             X  3530806.983 Y   5328777.188 Z   593.437
        132             3_VF_21             X  3530807.261 Y   5328777.222 Z   593.422
        133             3_VF_12             X  3530806.474 Y   5328777.794 Z   593.440
        134             3_VF_14             X  3530805.641 Y   5328779.064 Z   593.501
        135             3_VF_15             X  3530805.668 Y   5328778.963 Z   593.488
        136                3_GR             X  3530807.395 Y   5328776.614 Z   593.473
        137                3_GR             X  3530807.228 Y   5328776.809 Z   593.442
        138                3_GR             X  3530806.925 Y   5328777.152 Z   593.447
        139                3_GR             X  3530806.618 Y   5328777.552 Z   593.457
        140                3_GR             X  3530806.345 Y   5328777.914 Z   593.448
        141                3_GR             X  3530805.996 Y   5328778.357 Z   593.469
        142                3_GR             X  3530805.691 Y   5328778.771 Z   593.496
        143                3_GR             X  3530805.376 Y   5328779.223 Z   593.540
        144                3_GR             X  3530805.121 Y   5328779.543 Z   593.561
        145                3_GR             X  3530805.026 Y   5328779.715 Z   593.580
        146                3_GR             X  3530805.252 Y   5328779.922 Z   593.579
        147                3_GR             X  3530805.493 Y   5328780.117 Z   593.532
        148                3_GR             X  3530805.704 Y   5328780.246 Z   593.516
        149                3_GR             X  3530806.034 Y   5328779.830 Z   593.488
        150                3_GR             X  3530806.451 Y   5328779.281 Z   593.455
